Details,Posting Date,Description,Amount,Type,Balance
DEBIT,2/3/2021,POS DEBIT                WHOLEFDS SCT 102          PHOENIX      AZ,-59.61,MISC_DEBIT, 
DEBIT,2/3/2021,POS DEBIT                WHOLEFDS SCT 102          PHOENIX      AZ,-13.08,MISC_DEBIT, 
DEBIT,2/3/2021,POS DEBIT                WHOLEFDS SCT 102         PHOENIX       AZ,-14.95,MISC_DEBIT, 
DEBIT,2/2/2021,SQ *PRESS SCOTTSDALE QU Scottsdale AZ        02/01,-6.94,DEBIT_CARD,1610.98
DEBIT,2/1/2021,GOOGLE *YouTube Music 855-836-3987 CA        01/30,-10.85,DEBIT_CARD,1617.92
DEBIT,2/1/2021,DISCOVER         E-PAYMENT  2463            WEB ID: 2510020270,-453.31,ACH_DEBIT,1628.77
DEBIT,2/1/2021,FID BKG SVC LLC  MONEYLINE                  PPD ID: 0368004600,-1000,ACH_DEBIT,2082.08
DEBIT,2/1/2021,GABLES-1JP20466  WEB PMTS   R78427          WEB ID: 9000326709,-1300,ACH_DEBIT,3082.08
DEBIT,2/1/2021,COSTCO GAS #0427 SCOTTSDALE AZ       076336  02/01,-38,DEBIT_CARD,4382.08
DEBIT,2/1/2021,SQ *PRESS SCOTTSDALE QU Scottsdale AZ        02/01,-5.24,DEBIT_CARD,4420.08
DEBIT,2/1/2021,WHOLEFDS SCT 10246 PHOENIX AZ                01/31,-29.49,DEBIT_CARD,4425.32
DEBIT,2/1/2021,THE HERB BOX SOUTHBRID SCOTTSDALE AZ         01/30,-63.49,DEBIT_CARD,4454.81
DEBIT,2/1/2021,WHOLEFDS SCT 10246 PHOENIX AZ                01/29,-45.62,DEBIT_CARD,4518.3
DEBIT,2/1/2021,PAYPAL *MEDIUM.COM 402-935-7733 CA           01/29,-5,DEBIT_CARD,4563.92
CREDIT,2/1/2021,Online Transfer from SAV ...9797 transaction#: 11093869250,455,ACCT_XFER,4568.92
DEBIT,1/29/2021,WHOLEFDS SCT 10246 PHOENIX AZ                01/28,-13.98,DEBIT_CARD,4113.92
CREDIT,1/29/2021,CVO HOLDING COMP DIRECT DEP                 PPD ID: 9111111101,2422.51,ACH_CREDIT,4127.9
DEBIT,1/28/2021,STAPLES 0715 SCOTTSDALE AZ           017590  01/28,-160.44,DEBIT_CARD,1705.39
DEBIT,1/28/2021,WHOLEFDS SCT 10246 PHOENIX AZ                01/27,-27.38,DEBIT_CARD,1865.83
DEBIT,1/27/2021,STARBUCKS STORE 62567 PHOENIX AZ             01/26,-2.99,DEBIT_CARD,1893.21
DEBIT,1/26/2021,WALGREENS STORE 20631 SCOTTSDALE AZ  110185  01/26,-15.11,DEBIT_CARD,1896.2
DEBIT,1/26/2021,ELEVATE COFFEE COMPANY PHOENIX AZ            01/25,-8.32,DEBIT_CARD,1911.31
DEBIT,1/25/2021,BEST BUY      00014811 PHOENIX AZ    948062  01/25,-217.19,DEBIT_CARD,1919.63
DEBIT,1/25/2021,WHOLEFDS SCT 10246 PHOENIX AZ                01/24,-5.99,DEBIT_CARD,2136.82
DEBIT,1/25/2021,WALGREENS STORE 20631 SCOTTSDALE AZ  432747  01/24,-6.47,DEBIT_CARD,2142.81
DEBIT,1/25/2021,CIRCLE K 05915 SCOTTSDALE AZ                 01/24,-13.53,DEBIT_CARD,2149.28
DEBIT,1/25/2021,ELEVATE COFFEE COMPANY PHOENIX AZ            01/23,-2.16,DEBIT_CARD,2162.81
DEBIT,1/25/2021,ELEVATE COFFEE COMPANY PHOENIX AZ            01/23,-4.28,DEBIT_CARD,2164.97
DEBIT,1/25/2021,WHOLEFDS SCT 10246 PHOENIX AZ                01/23,-50.51,DEBIT_CARD,2169.25
DEBIT,1/20/2021,APS electric pmt PAYMENT    3518057919      WEB ID: 1860011170,-58.52,ACH_DEBIT,2219.76
DEBIT,1/20/2021,GCU STUDENT UNION PHOENIX AZ                 01/19,-5.52,DEBIT_CARD,2278.28
DEBIT,1/19/2021,WHOLEFDS SCT 10246 PHOENIX AZ                01/18,-64.76,DEBIT_CARD,2283.8
DEBIT,1/19/2021,SQ *PRESS WATERFRONT Scottsdale AZ           01/17,-3.97,DEBIT_CARD,2348.56
DEBIT,1/19/2021,PF CHANGS #9978 SCOTTSDALE AZ                01/17,-25.07,DEBIT_CARD,2352.53
DEBIT,1/19/2021,MACY'S    7014 E CAMEL SCOTTSDALE AZ         01/17,-23.77,DEBIT_CARD,2377.6
DEBIT,1/19/2021,H&M0209 SCOTTSDALE AZ                318147  01/17,-32.21,DEBIT_CARD,2401.37
DEBIT,1/19/2021,TFK BILTMORE PHOENIX AZ                      01/16,-19.02,DEBIT_CARD,2433.58
DEBIT,1/19/2021,SHELL SERVICE STATION SCOTTSDALE AZ  048446  01/16,-20.01,DEBIT_CARD,2452.6
DEBIT,1/19/2021,WHOLEFDS SCT 10246 PHOENIX AZ                01/15,-24.9,DEBIT_CARD,2472.61
DEBIT,1/15/2021,VZWRLSS*APOCC VISN 800-922-0204 FL           01/15,-78.72,DEBIT_CARD,2497.51
DEBIT,1/15/2021,Online Transfer to SAV ...9797 transaction#: 11004913923 01/15,-1000,ACCT_XFER,2576.23
DEBIT,1/15/2021,Online Payment 11004879196 To ALA 5817 01/15,-432.61,LOAN_PMT,3576.23
DEBIT,1/15/2021,SAFEWAY #1253 SCOTTSDALE AZ                  01/14,-27.22,DEBIT_CARD,4008.84
DEBIT,1/15/2021,SCOTTSDALE EYE PHYSIC 480-994-1872 AZ        01/13,-136,DEBIT_CARD,4036.06
